case,window_seconds,service,pre_spans,post_spans,pre_median,post_median,median_ratio,pre_p95,post_p95,p95_ratio,pre_error_rate,post_error_rate,error_rate_change
re2ob_checkoutservice_delay_1,300,checkoutservice,2050,2151,3994.5,204461.0,51.185630241582174,78044.75,1897317.5,24.31063588518126,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,currencyservice,12058,11713,142.0,142.0,1.0,246.0,260.0,1.056910569105691,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,emailservice,269,280,203.0,205.5,1.0123152709359606,421.4,421.3500000000001,0.9998813478879927,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,frontendservice,43691,43384,3875.0,3912.0,1.0095483870967743,68209.5,67817.49999999999,0.9942529999486873,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,paymentservice,209,220,186.0,187.5,1.0080645161290323,424.5999999999999,337.04999999999995,0.793805934997645,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,productcatalogservice,21751,21883,12.0,13.0,1.0833333333333333,24.0,26.0,1.0833333333333333,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,300,recommendationservice,5770,5820,3511.0,3538.0,1.0076901167758474,4586.55,4609.200000000001,1.0049383523563464,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,checkoutservice,64,4,3843.5,101352.5,26.369845193183295,77732.59999999996,202949.4,2.6108659687184024,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,currencyservice,446,323,143.0,142.0,0.993006993006993,253.75,246.19999999999982,0.9702463054187185,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,emailservice,8,4,123.0,47.0,0.3821138211382114,281.75,52.25,0.18544809228039041,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,frontendservice,1534,1298,4029.0,3656.0,0.9074211963266319,76343.74999999999,55269.24999999989,0.7239525173966421,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,paymentservice,6,2,174.0,54.5,0.3132183908045977,217.75,59.45,0.2730195177956372,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,productcatalogservice,737,653,12.0,12.0,1.0,26.0,24.0,0.9230769230769231,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,10,recommendationservice,192,184,3476.5,3561.0,1.0243060549403136,4257.15,4592.15,1.0786911431356658,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,checkoutservice,196,76,3968.5,204542.5,51.54151442610558,80253.75,1904145.75,23.72656417924396,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,currencyservice,1351,1038,140.0,142.0,1.0142857142857142,241.5,240.14999999999998,0.9944099378881986,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,emailservice,25,17,204.0,47.0,0.23039215686274508,420.39999999999975,348.9999999999999,0.8301617507136063,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,frontendservice,4400,4024,3897.0,3765.5,0.9662560944316141,72561.20000000004,59424.09999999999,0.8189514506375303,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,paymentservice,19,11,175.0,60.0,0.34285714285714286,230.5,230.0,0.9978308026030369,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,productcatalogservice,2051,2028,12.0,12.0,1.0,22.5,22.0,0.9777777777777777,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,30,recommendationservice,540,548,3477.5,3524.5,1.0135154565061106,4395.5,5077.249999999999,1.1551018086679556,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,checkoutservice,324,267,3927.5,204313.0,52.02113303628262,73934.79999999994,1865854.7999999998,25.236489447459128,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,currencyservice,2454,2154,139.0,142.0,1.0215827338129497,252.3499999999999,247.69999999999982,0.981573211808995,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,emailservice,46,42,53.0,55.0,1.0377358490566038,343.5,348.7499999999999,1.0152838427947595,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,frontendservice,8493,8101,3829.0,3744.0,0.977800992426221,68120.4,61843.0,0.9078484565563327,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,paymentservice,34,31,183.5,174.0,0.9482288828337875,476.5499999999993,610.5,1.281082782499215,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,productcatalogservice,4092,4084,12.0,12.0,1.0,24.0,23.0,0.9583333333333334,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,60,recommendationservice,1090,1094,3458.5,3493.5,1.0101199942171462,4400.5,4649.499999999997,1.0565844790364725,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,checkoutservice,744,652,3986.0,204458.0,51.294029101856495,77036.15000000004,1878550.1999999993,24.385307417361826,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,currencyservice,4804,4445,139.5,141.0,1.010752688172043,244.0,242.80000000000018,0.9950819672131155,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,emailservice,101,95,200.0,172.0,0.86,391.0,423.2999999999999,1.0826086956521737,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,frontendservice,17228,16395,3859.0,3764.0,0.9753822233739311,68080.3,65108.79999999999,0.9563530125454792,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,paymentservice,77,71,184.0,173.0,0.9402173913043478,440.2000000000009,607.5,1.3800545206724188,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,productcatalogservice,8531,8217,12.0,12.0,1.0,24.0,24.0,1.0,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,120,recommendationservice,2270,2198,3501.0,3501.5,1.0001428163381891,4569.749999999998,4534.3,0.9922424640297614,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,checkoutservice,1792,1701,3996.5,204465.0,51.16101588890279,74222.64999999998,1910277.0,25.737116634881676,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,currencyservice,11965,11646,140.0,140.0,1.0,246.0,239.0,0.9715447154471545,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,emailservice,247,240,201.0,185.0,0.9203980099502488,405.09999999999997,438.3499999999999,1.0820784991360157,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,frontendservice,43015,41603,3892.0,3857.0,0.9910071942446043,67859.29999999999,68004.10000000003,1.0021338269036086,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,paymentservice,187,181,180.0,180.0,1.0,438.5999999999997,530.0,1.2083903328773378,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,productcatalogservice,21331,20510,12.0,12.0,1.0,24.0,24.0,1.0,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,300,recommendationservice,5666,5455,3511.0,3487.0,0.9931643406436913,4558.5,4480.3,0.9828452341779095,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,checkoutservice,70,34,3889.0,203575.5,52.34649010028285,75077.54999999999,810670.0499999967,10.797769106743585,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,currencyservice,393,401,142.0,143.0,1.0070422535211268,269.19999999999993,249.0,0.9249628528974743,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,emailservice,8,7,201.5,48.0,0.23821339950372208,298.8,281.8999999999999,0.9434404283801872,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,frontendservice,1351,1524,3919.0,4040.0,1.0308752232712426,71680.0,63148.94999999995,0.8809842354910707,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,paymentservice,6,5,183.0,166.0,0.907103825136612,367.5,235.79999999999998,0.6416326530612244,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,productcatalogservice,668,762,12.0,12.0,1.0,23.0,22.0,0.9565217391304348,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,10,recommendationservice,174,204,3427.0,3542.0,1.0335570469798658,4652.15,4324.25,0.9295164601313372,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,checkoutservice,138,198,3907.0,204406.0,52.31789096493473,74905.05000000002,1901862.3499999999,25.390308797604426,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,currencyservice,1179,1231,143.0,144.0,1.006993006993007,238.29999999999973,266.0,1.11624003357113,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,emailservice,20,25,53.0,206.0,3.8867924528301887,292.55,520.8,1.7802085113655783,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,frontendservice,4217,4284,3839.0,3970.5,1.0342537119041417,62614.59999999999,70269.95,1.1222614214576154,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,paymentservice,14,19,178.0,179.0,1.0056179775280898,410.25,305.9999999999995,0.745886654478975,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,productcatalogservice,2097,2116,12.0,12.0,1.0,25.0,24.0,0.96,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,30,recommendationservice,550,554,3477.0,3498.5,1.0061834915156744,4464.15,4419.900000000001,0.9900876986660396,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,checkoutservice,296,402,3998.0,204369.5,51.11793396698349,74883.0,1851664.8,24.727438804535076,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,currencyservice,2437,2389,140.0,145.0,1.0357142857142858,235.19999999999982,249.0,1.058673469387756,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,emailservice,44,50,72.0,209.0,2.9027777777777777,291.85,516.8,1.7707726571869107,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,frontendservice,8651,8483,3853.0,3904.0,1.0132364391383337,68580.5,67875.7,0.9897230262246557,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,paymentservice,32,39,174.0,176.0,1.0114942528735633,415.74999999999994,303.1000000000003,0.7290438965724603,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,productcatalogservice,4265,4235,12.0,12.0,1.0,23.0,24.0,1.0434782608695652,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,60,recommendationservice,1114,1112,3494.5,3483.0,0.9967091143225068,4560.549999999999,4401.05,0.9650261481619543,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,checkoutservice,604,935,3937.5,204464.0,51.92736507936508,76375.3,1902315.4,24.90746877590006,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,currencyservice,4731,4903,140.0,144.0,1.0285714285714285,242.0,252.0,1.0413223140495869,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,emailservice,88,114,68.5,211.5,3.0875912408759123,346.29999999999984,491.7499999999999,1.4200115506786026,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,frontendservice,16997,17630,3883.0,3923.0,1.0103013134174608,69164.59999999996,69137.59999999999,0.999609626890057,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,paymentservice,64,90,170.5,179.5,1.0527859237536656,444.49999999999994,416.6499999999998,0.9373453318335205,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,productcatalogservice,8435,8828,12.0,12.0,1.0,24.0,23.649999999999636,0.9854166666666515,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,120,recommendationservice,2218,2332,3516.5,3501.5,0.9957343949950235,4565.6,4511.0,0.9880410022779043,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,checkoutservice,1714,1938,4016.0,204440.0,50.90637450199203,76726.69999999992,1903726.5,24.811786509780845,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,currencyservice,12089,11882,142.0,142.0,1.0,244.0,245.9499999999989,1.007991803278684,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,emailservice,241,257,194.0,206.0,1.0618556701030928,395.0,465.59999999999997,1.1787341772151898,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,frontendservice,43446,42802,3924.5,3926.0,1.0003822142948147,70082.25,67438.95,0.9622828890339565,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,paymentservice,181,197,175.0,180.0,1.0285714285714285,327.0,419.39999999999964,1.2825688073394483,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,productcatalogservice,21520,21270,12.0,12.0,1.0,25.0,24.0,0.96,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,300,recommendationservice,5686,5644,3500.0,3504.0,1.0011428571428571,4624.5,4478.249999999997,0.9683749594550757,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,checkoutservice,140,62,4291.0,4771.5,1.111978559776276,215831.49999999846,198941.69999999955,0.9217454356755199,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,currencyservice,364,439,95.0,87.0,0.9157894736842105,195.39999999999986,168.2999999999999,0.8613101330603891,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,emailservice,14,8,216.5,231.5,1.069284064665127,588.3,507.69999999999993,0.8629950705422403,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,frontendservice,1383,1414,3522.0,4142.5,1.1761783077796706,196134.1,236798.19999999998,1.2073280474940358,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,paymentservice,12,6,177.5,234.0,1.3183098591549296,279.45,1175.25,4.205582393988191,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,productcatalogservice,743,652,12.0,12.0,1.0,21.899999999999977,27.449999999999932,1.2534246575342447,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,10,recommendationservice,196,172,3416.0,3472.0,1.0163934426229508,6077.0,4609.55,0.7585239427349021,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,checkoutservice,250,222,4244.5,4745.0,1.11791730474732,219877.54999999978,215883.04999999987,0.9818330702702486,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,currencyservice,1110,1244,97.0,94.0,0.9690721649484536,182.54999999999995,169.8499999999999,0.9304300191728291,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,emailservice,31,26,216.0,234.0,1.0833333333333333,627.0,526.75,0.8401116427432217,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,frontendservice,4067,4060,3706.0,3749.0,1.0116028062601188,197308.79999999987,197051.39999999997,0.9986954459203041,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,paymentservice,25,20,179.0,186.5,1.041899441340782,279.8,682.2000000000005,2.4381701215153697,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,productcatalogservice,2071,1929,12.0,12.0,1.0,23.0,27.0,1.173913043478261,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,30,recommendationservice,550,506,3466.0,3430.0,0.9896133871898442,4996.249999999997,4698.25,0.9403552664498379,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,checkoutservice,420,506,4162.0,5025.0,1.207352234502643,214258.94999999946,226080.0,1.0551717909566931,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,currencyservice,2160,2399,103.0,95.0,0.9223300970873787,182.0,173.0999999999999,0.9510989010989006,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,emailservice,54,62,202.5,225.5,1.1135802469135803,588.2999999999986,579.7499999999999,0.985466598674148,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,frontendservice,8012,8410,3809.0,3775.5,0.9912050406930953,196346.04999999996,200874.09999999977,1.0230615792881996,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,paymentservice,42,50,176.5,194.0,1.0991501416430596,279.95,663.8999999999999,2.371494909805322,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,productcatalogservice,4074,4128,12.0,12.0,1.0,24.0,26.649999999999636,1.1104166666666515,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,60,recommendationservice,1086,1100,3470.5,3486.0,1.0044662152427604,4978.5,4906.549999999999,0.9855478557798533,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,checkoutservice,838,950,4105.0,5074.0,1.23605359317905,213437.6,237614.69999999992,1.1132747931948257,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,currencyservice,4516,4594,100.0,96.0,0.96,184.0,179.0,0.9728260869565217,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,emailservice,108,120,200.0,208.5,1.0425,468.5499999999998,596.9499999999997,1.2740369224202326,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,frontendservice,16663,16699,3809.0,3825.0,1.0042005775794172,196260.1,203143.89999999956,1.0350748827703622,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,paymentservice,84,96,179.0,190.0,1.0614525139664805,406.9499999999995,675.75,1.6605234058238134,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,productcatalogservice,8446,8335,11.0,12.0,1.0909090909090908,24.0,27.0,1.125,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,120,recommendationservice,2234,2236,3478.5,3510.5,1.0091993675434814,5055.299999999998,5100.75,1.0089905643581987,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,checkoutservice,1958,2046,4029.5,4973.0,1.2341481573396202,212192.1999999999,275278.25,1.2973061686527598,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,currencyservice,11454,11580,99.0,96.0,0.9696969696969697,183.0,177.0,0.9672131147540983,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,emailservice,265,275,198.0,203.0,1.0252525252525253,445.5999999999999,564.1000000000001,1.2659335727109522,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,frontendservice,41883,41831,3839.0,3710.0,0.9663974993487887,196973.0,198033.5,1.0053839866377625,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,paymentservice,205,215,185.0,188.0,1.0162162162162163,492.39999999999895,652.2999999999995,1.3247359870024389,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,productcatalogservice,20942,20736,12.0,12.0,1.0,25.0,25.0,1.0,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,300,recommendationservice,5572,5540,3491.0,3492.0,1.000286450873675,5116.0,5112.05,0.9992279124315873,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,checkoutservice,52,32,4233.0,4316.5,1.0197259626742263,81384.69999999997,148563.7499999999,1.8254506068093876,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,currencyservice,429,410,124.0,125.0,1.0080645161290323,189.59999999999997,206.54999999999995,1.0893987341772151,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,emailservice,8,6,111.5,47.0,0.42152466367713004,298.15,299.0,1.0028509139694786,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,frontendservice,1520,1425,3551.5,4039.0,1.1372659439673378,57854.34999999998,67577.0,1.1680539147013151,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,paymentservice,6,4,211.5,146.0,0.6903073286052009,244.75,2064.149999999999,8.433707865168536,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,productcatalogservice,738,680,13.0,13.0,1.0,24.0,24.049999999999955,1.0020833333333314,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,10,recommendationservice,194,180,3070.0,3030.5,0.9871335504885993,5206.5,4248.049999999996,0.8159128013060589,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,checkoutservice,86,182,4233.0,4289.5,1.0133475076777698,78004.0,142163.49999999997,1.822515512025024,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,currencyservice,657,1248,122.0,128.0,1.0491803278688525,191.5999999999998,218.64999999999986,1.1411795407098126,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,emailservice,14,25,43.0,183.0,4.255813953488372,354.84999999999997,606.199999999999,1.708327462308015,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,frontendservice,2627,4575,3512.0,3754.0,1.0689066059225512,58378.99999999998,61838.40000000002,1.059257609756934,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,paymentservice,9,19,202.0,247.0,1.2227722772277227,242.6,570.2999999999956,2.350783182192892,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,productcatalogservice,1205,2281,13.0,13.0,1.0,24.0,26.0,1.0833333333333333,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,30,recommendationservice,392,598,3059.0,3093.0,1.0111147433801897,4593.0,5555.099999999999,1.2094709340300456,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,checkoutservice,54,50,4175.0,4218.5,1.0104191616766467,66095.0,128641.3499999998,1.9463098570239776,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,currencyservice,395,403,129.0,139.0,1.0775193798449612,210.0,206.0,0.9809523809523809,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,emailservice,8,7,146.0,47.0,0.3219178082191781,382.54999999999995,388.2999999999999,1.0150307149392235,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,frontendservice,1314,1481,3379.5,3510.0,1.0386151797603196,48214.24999999998,58775.0,1.2190379400281042,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,paymentservice,6,5,175.0,191.0,1.0914285714285714,201.5,206.8,1.026302729528536,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,productcatalogservice,628,742,14.0,14.0,1.0,24.649999999999977,32.0,1.2981744421906705,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,10,recommendationservice,168,196,3489.0,3616.5,1.0365434221840069,4642.050000000001,4649.0,1.001497183356491,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,checkoutservice,206,214,4088.0,4898.5,1.1982632093933463,68480.75,193771.69999999992,2.8295791152988237,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,currencyservice,1192,1192,135.0,137.0,1.0148148148148148,214.0,222.9000000000001,1.0415887850467294,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,emailservice,28,26,209.5,210.5,1.0047732696897376,357.5999999999999,423.75,1.1849832214765104,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,frontendservice,4237,4387,3405.0,3822.0,1.1224669603524229,52094.799999999996,69022.0,1.324930703256371,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,paymentservice,22,20,192.5,194.5,1.0103896103896104,595.6999999999998,261.1500000000006,0.4383918079570265,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,productcatalogservice,2090,2223,14.0,14.0,1.0,28.0,29.0,1.0357142857142858,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,30,recommendationservice,560,588,3534.0,3723.5,1.0536219581211093,4819.949999999995,5542.199999999999,1.149845952758847,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,checkoutservice,438,344,4005.5,4773.0,1.1916115341405566,67469.74999999996,190652.04999999993,2.8257411654852738,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,currencyservice,2477,2197,132.0,139.0,1.053030303030303,213.0,235.0,1.1032863849765258,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,emailservice,54,48,210.5,152.5,0.7244655581947743,428.4,420.04999999999995,0.9805088702147525,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,frontendservice,8641,8393,3476.0,3678.0,1.0581127733026467,56772.0,63247.19999999995,1.1140562248995975,0.0,0.0,0.0
