case,fault_type,faulty_service,service,window_seconds,pre_requests,post_requests,request_volume_ratio,pre_spans,post_spans,span_volume_ratio,pre_median_latency,post_median_latency,median_latency_ratio,pre_p95_latency,post_p95_latency,p95_latency_ratio,pre_error_rate,post_error_rate,error_rate_change
re2ob_checkoutservice_delay_2,delay,checkoutservice,frontendservice,30,430,370,0.8604651162790697,4400,4024,0.9145454545454546,3897.0,3765.5,0.9662560944316141,72561.20000000004,59424.09999999999,0.8189514506375303,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,paymentservice,30,19,11,0.5789473684210527,19,11,0.5789473684210527,175.0,60.0,0.34285714285714286,230.5,230.0,0.9978308026030369,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,productcatalogservice,30,380,350,0.9210526315789473,2051,2028,0.9887859580692345,12.0,12.0,1.0,22.5,22.0,0.9777777777777777,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,recommendationservice,30,276,280,1.0144927536231885,540,548,1.0148148148148148,3477.5,3524.5,1.0135154565061106,4395.5,5077.249999999999,1.1551018086679556,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,30,59,79,1.3389830508474576,138,198,1.434782608695652,3907.0,204406.0,52.31789096493473,74905.05000000002,1901862.3499999999,25.390308797604426,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,currencyservice,30,354,372,1.0508474576271187,1179,1231,1.0441051738761662,143.0,144.0,1.006993006993007,238.29999999999973,266.0,1.11624003357113,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,emailservice,30,20,25,1.25,20,25,1.25,53.0,206.0,3.8867924528301887,292.55,520.8,1.7802085113655783,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,frontendservice,30,382,395,1.0340314136125655,4217,4284,1.015888072089163,3839.0,3970.5,1.0342537119041417,62614.59999999999,70269.95,1.1222614214576154,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,paymentservice,30,14,19,1.3571428571428572,14,19,1.3571428571428572,178.0,179.0,1.0056179775280898,410.25,305.9999999999995,0.745886654478975,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,productcatalogservice,30,358,363,1.0139664804469273,2097,2116,1.0090605627086313,12.0,12.0,1.0,25.0,24.0,0.96,0.0,0.0,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,recommendationservice,30,281,283,1.00711743772242,550,554,1.0072727272727273,3477.0,3498.5,1.0061834915156744,4464.15,4419.900000000001,0.9900876986660396,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,30,93,89,0.956989247311828,250,222,0.888,4244.5,4745.0,1.11791730474732,219877.54999999978,215883.04999999987,0.9818330702702486,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,currencyservice,30,374,371,0.9919786096256684,1110,1244,1.1207207207207208,97.0,94.0,0.9690721649484536,182.54999999999995,169.8499999999999,0.9304300191728291,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,emailservice,30,31,26,0.8387096774193549,31,26,0.8387096774193549,216.0,234.0,1.0833333333333333,627.0,526.75,0.8401116427432217,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,30,385,390,1.0129870129870129,4067,4060,0.9982788296041308,3706.0,3749.0,1.0116028062601188,197308.79999999987,197051.39999999997,0.9986954459203041,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,paymentservice,30,25,20,0.8,25,20,0.8,179.0,186.5,1.041899441340782,279.8,682.2000000000005,2.4381701215153697,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,productcatalogservice,30,359,351,0.9777158774373259,2071,1929,0.9314340898116852,12.0,12.0,1.0,23.0,27.0,1.173913043478261,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,recommendationservice,30,281,259,0.9217081850533808,550,506,0.92,3466.0,3430.0,0.9896133871898442,4996.249999999997,4698.25,0.9403552664498379,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,30,33,71,2.1515151515151514,86,182,2.116279069767442,4233.0,4289.5,1.0133475076777698,78004.0,142163.49999999997,1.822515512025024,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,currencyservice,30,194,388,2.0,657,1248,1.8995433789954337,122.0,128.0,1.0491803278688525,191.5999999999998,218.64999999999986,1.1411795407098126,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,emailservice,30,14,25,1.7857142857142858,14,25,1.7857142857142858,43.0,183.0,4.255813953488372,354.84999999999997,606.199999999999,1.708327462308015,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,frontendservice,30,247,432,1.7489878542510122,2627,4575,1.7415302626570233,3512.0,3754.0,1.0689066059225512,58378.99999999998,61838.40000000002,1.059257609756934,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,paymentservice,30,9,19,2.111111111111111,9,19,2.111111111111111,202.0,247.0,1.2227722772277227,242.6,570.2999999999956,2.350783182192892,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,productcatalogservice,30,213,399,1.8732394366197183,1205,2281,1.8929460580912862,13.0,13.0,1.0,24.0,26.0,1.0833333333333333,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,recommendationservice,30,200,305,1.525,392,598,1.5255102040816326,3059.0,3093.0,1.0111147433801897,4593.0,5555.099999999999,1.2094709340300456,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,30,77,85,1.103896103896104,206,214,1.0388349514563107,4088.0,4898.5,1.1982632093933463,68480.75,193771.69999999992,2.8295791152988237,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,currencyservice,30,375,389,1.0373333333333334,1192,1192,1.0,135.0,137.0,1.0148148148148148,214.0,222.9000000000001,1.0415887850467294,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,emailservice,30,28,26,0.9285714285714286,28,26,0.9285714285714286,209.5,210.5,1.0047732696897376,357.5999999999999,423.75,1.1849832214765104,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,frontendservice,30,398,412,1.035175879396985,4237,4387,1.0354024073637007,3405.0,3822.0,1.1224669603524229,52094.799999999996,69022.0,1.324930703256371,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,paymentservice,30,22,20,0.9090909090909091,22,20,0.9090909090909091,192.5,194.5,1.0103896103896104,595.6999999999998,261.1500000000006,0.4383918079570265,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,productcatalogservice,30,366,384,1.0491803278688525,2090,2223,1.0636363636363637,14.0,14.0,1.0,28.0,29.0,1.0357142857142858,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,recommendationservice,30,286,300,1.048951048951049,560,588,1.05,3534.0,3723.5,1.0536219581211093,4819.949999999995,5542.199999999999,1.149845952758847,0.0,0.0,0.0
