window,serviceName,spans
-610.0,productcatalogservice,759
-610.0,recommendationservice,204
-600.0,checkoutservice,28
-600.0,currencyservice,325
-600.0,emailservice,6
-600.0,frontendservice,1242
-600.0,paymentservice,4
-600.0,productcatalogservice,624
-600.0,recommendationservice,168
-590.0,checkoutservice,86
-590.0,currencyservice,398
-590.0,emailservice,10
-590.0,frontendservice,1524
-590.0,paymentservice,8
-590.0,productcatalogservice,786
-590.0,recommendationservice,212
-580.0,checkoutservice,64
-580.0,currencyservice,368
-580.0,emailservice,8
-580.0,frontendservice,1349
-580.0,paymentservice,7
-580.0,productcatalogservice,668
-580.0,recommendationservice,180
-570.0,checkoutservice,106
-570.0,currencyservice,446
-570.0,emailservice,13
-570.0,frontendservice,1608
-570.0,paymentservice,10
-570.0,productcatalogservice,810
-570.0,recommendationservice,214
-560.0,checkoutservice,42
-560.0,currencyservice,418
-560.0,emailservice,7
-560.0,frontendservice,1495
-560.0,paymentservice,5
-560.0,productcatalogservice,724
-560.0,recommendationservice,192
-550.0,checkoutservice,74
-550.0,currencyservice,383
-550.0,emailservice,9
-550.0,frontendservice,1441
-550.0,paymentservice,7
-550.0,productcatalogservice,741
-550.0,recommendationservice,196
-540.0,checkoutservice,68
-540.0,currencyservice,399
-540.0,emailservice,8
-540.0,frontendservice,1443
-540.0,paymentservice,6
-540.0,productcatalogservice,724
-540.0,recommendationservice,192
-530.0,checkoutservice,24
-530.0,currencyservice,348
-530.0,emailservice,6
-530.0,frontendservice,1298
-530.0,paymentservice,4
-530.0,productcatalogservice,635
-530.0,recommendationservice,174
-520.0,checkoutservice,34
-520.0,currencyservice,420
-520.0,emailservice,6
-520.0,frontendservice,1322
-520.0,paymentservice,4
-520.0,productcatalogservice,595
-520.0,recommendationservice,160
-510.0,checkoutservice,24
-510.0,currencyservice,338
-510.0,emailservice,6
-510.0,frontendservice,1309
-510.0,paymentservice,4
-510.0,productcatalogservice,651
-510.0,recommendationservice,178
-500.0,checkoutservice,96
-500.0,currencyservice,431
-500.0,emailservice,12
-500.0,frontendservice,1486
-500.0,paymentservice,10
-500.0,productcatalogservice,722
-500.0,recommendationservice,192
-490.0,checkoutservice,72
-490.0,currencyservice,437
-490.0,emailservice,9
-490.0,frontendservice,1496
-490.0,paymentservice,7
-490.0,productcatalogservice,731
-490.0,recommendationservice,192
-480.0,checkoutservice,95
-480.0,currencyservice,403
-480.0,emailservice,10
-480.0,frontendservice,1445
-480.0,paymentservice,9
-480.0,productcatalogservice,727
-480.0,recommendationservice,192
-470.0,checkoutservice,83
-470.0,currencyservice,390
-470.0,emailservice,12
-470.0,frontendservice,1438
-470.0,paymentservice,9
-470.0,productcatalogservice,715
-470.0,recommendationservice,196
-460.0,checkoutservice,50
-460.0,currencyservice,386
-460.0,emailservice,8
-460.0,frontendservice,1304
-460.0,paymentservice,6
-460.0,productcatalogservice,616
-460.0,recommendationservice,164
-450.0,checkoutservice,46
-450.0,currencyservice,401
-450.0,emailservice,7
-450.0,frontendservice,1524
-450.0,paymentservice,5
-450.0,productcatalogservice,765
-450.0,recommendationservice,204
-440.0,checkoutservice,83
-440.0,currencyservice,397
-440.0,emailservice,10
-440.0,frontendservice,1448
-440.0,paymentservice,8
-440.0,productcatalogservice,735
-440.0,recommendationservice,190
-430.0,checkoutservice,83
-430.0,currencyservice,400
-430.0,emailservice,10
-430.0,frontendservice,1500
-430.0,paymentservice,8
-430.0,productcatalogservice,768
-430.0,recommendationservice,208
-420.0,checkoutservice,54
-420.0,currencyservice,403
-420.0,emailservice,8
-420.0,frontendservice,1456
-420.0,paymentservice,6
-420.0,productcatalogservice,710
-420.0,recommendationservice,190
-410.0,checkoutservice,78
-410.0,currencyservice,424
-410.0,emailservice,9
-410.0,frontendservice,1505
-410.0,paymentservice,7
-410.0,productcatalogservice,756
-410.0,recommendationservice,200
-400.0,checkoutservice,80
-400.0,currencyservice,434
-400.0,emailservice,9
-400.0,frontendservice,1516
-400.0,paymentservice,7
-400.0,productcatalogservice,747
-400.0,recommendationservice,196
-390.0,checkoutservice,56
-390.0,currencyservice,383
-390.0,emailservice,8
-390.0,frontendservice,1263
-390.0,paymentservice,6
-390.0,productcatalogservice,601
-390.0,recommendationservice,162
-380.0,checkoutservice,40
-380.0,currencyservice,359
-380.0,emailservice,7
-380.0,frontendservice,1279
-380.0,paymentservice,5
-380.0,productcatalogservice,616
-380.0,recommendationservice,168
-370.0,checkoutservice,62
-370.0,currencyservice,402
-370.0,emailservice,9
-370.0,frontendservice,1431
-370.0,paymentservice,7
-370.0,productcatalogservice,696
-370.0,recommendationservice,188
-360.0,checkoutservice,30
-360.0,currencyservice,345
-360.0,emailservice,6
-360.0,frontendservice,1312
-360.0,paymentservice,4
-360.0,productcatalogservice,652
-360.0,recommendationservice,178
-350.0,checkoutservice,82
-350.0,currencyservice,457
-350.0,emailservice,10
-350.0,frontendservice,1516
-350.0,paymentservice,8
-350.0,productcatalogservice,720
-350.0,recommendationservice,188
-340.0,checkoutservice,32
-340.0,currencyservice,397
-340.0,emailservice,6
-340.0,frontendservice,1408
-340.0,paymentservice,4
-340.0,productcatalogservice,675
-340.0,recommendationservice,182
-330.0,checkoutservice,42
-330.0,currencyservice,341
-330.0,emailservice,7
-330.0,frontendservice,1353
-330.0,paymentservice,5
-330.0,productcatalogservice,695
-330.0,recommendationservice,188
-320.0,checkoutservice,93
-320.0,currencyservice,403
-320.0,emailservice,10
-320.0,frontendservice,1557
-320.0,paymentservice,9
-320.0,productcatalogservice,800
-320.0,recommendationservice,214
-310.0,checkoutservice,31
-310.0,currencyservice,370
-310.0,emailservice,7
-310.0,frontendservice,1253
-310.0,paymentservice,4
-310.0,productcatalogservice,590
-310.0,recommendationservice,160
-300.0,checkoutservice,38
-300.0,currencyservice,381
-300.0,emailservice,7
-300.0,frontendservice,1413
-300.0,paymentservice,5
-300.0,productcatalogservice,693
-300.0,recommendationservice,188
-290.0,checkoutservice,38
-290.0,currencyservice,323
-290.0,emailservice,7
-290.0,frontendservice,1251
-290.0,paymentservice,5
-290.0,productcatalogservice,629
-290.0,recommendationservice,172
-280.0,checkoutservice,36
-280.0,currencyservice,411
-280.0,emailservice,7
-280.0,frontendservice,1478
-280.0,paymentservice,5
-280.0,productcatalogservice,726
-280.0,recommendationservice,196
-270.0,checkoutservice,70
-270.0,currencyservice,474
-270.0,emailservice,10
-270.0,frontendservice,1634
-270.0,paymentservice,8
-270.0,productcatalogservice,782
-270.0,recommendationservice,206
-260.0,checkoutservice,34
-260.0,currencyservice,324
-260.0,emailservice,7
-260.0,frontendservice,1278
-260.0,paymentservice,5
-260.0,productcatalogservice,650
-260.0,recommendationservice,176
-250.0,checkoutservice,50
-250.0,currencyservice,485
-250.0,emailservice,8
-250.0,frontendservice,1543
-250.0,paymentservice,6
-250.0,productcatalogservice,693
-250.0,recommendationservice,184
-240.0,checkoutservice,78
-240.0,currencyservice,480
-240.0,emailservice,9
-240.0,frontendservice,1555
-240.0,paymentservice,7
-240.0,productcatalogservice,748
-240.0,recommendationservice,192
-230.0,checkoutservice,46
-230.0,currencyservice,467
-230.0,emailservice,7
-230.0,frontendservice,1408
-230.0,paymentservice,5
-230.0,productcatalogservice,624
-230.0,recommendationservice,160
-220.0,checkoutservice,68
-220.0,currencyservice,386
-220.0,emailservice,9
-220.0,frontendservice,1387
-220.0,paymentservice,7
-220.0,productcatalogservice,690
-220.0,recommendationservice,186
-210.0,checkoutservice,34
-210.0,currencyservice,366
-210.0,emailservice,6
-210.0,frontendservice,1399
-210.0,paymentservice,4
-210.0,productcatalogservice,705
-210.0,recommendationservice,188
-200.0,checkoutservice,66
-200.0,currencyservice,415
-200.0,emailservice,9
-200.0,frontendservice,1430
-200.0,paymentservice,7
-200.0,productcatalogservice,699
-200.0,recommendationservice,186
-190.0,checkoutservice,80
-190.0,currencyservice,406
-190.0,emailservice,9
-190.0,frontendservice,1404
-190.0,paymentservice,7
-190.0,productcatalogservice,694
-190.0,recommendationservice,184
-180.0,checkoutservice,48
-180.0,currencyservice,362
-180.0,emailservice,7
-180.0,frontendservice,1379
-180.0,paymentservice,5
-180.0,productcatalogservice,697
-180.0,recommendationservice,188
-170.0,checkoutservice,72
-170.0,currencyservice,384
-170.0,emailservice,10
-170.0,frontendservice,1519
-170.0,paymentservice,8
-170.0,productcatalogservice,793
-170.0,recommendationservice,210
-160.0,checkoutservice,34
-160.0,currencyservice,312
-160.0,emailservice,6
-160.0,frontendservice,1215
-160.0,paymentservice,4
-160.0,productcatalogservice,616
-160.0,recommendationservice,170
-150.0,checkoutservice,62
-150.0,currencyservice,467
-150.0,emailservice,9
-150.0,frontendservice,1686
-150.0,paymentservice,7
-150.0,productcatalogservice,818
-150.0,recommendationservice,216
-140.0,checkoutservice,66
-140.0,currencyservice,358
-140.0,emailservice,9
-140.0,frontendservice,1277
-140.0,paymentservice,7
-140.0,productcatalogservice,634
-140.0,recommendationservice,170
-130.0,checkoutservice,16
-130.0,currencyservice,362
-130.0,emailservice,5
-130.0,frontendservice,1367
-130.0,paymentservice,3
-130.0,productcatalogservice,676
-130.0,recommendationservice,180
-120.0,checkoutservice,62
-120.0,currencyservice,393
-120.0,emailservice,8
-120.0,frontendservice,1408
-120.0,paymentservice,6
-120.0,productcatalogservice,706
-120.0,recommendationservice,182
-110.0,checkoutservice,60
-110.0,currencyservice,455
-110.0,emailservice,8
-110.0,frontendservice,1566
-110.0,paymentservice,6
-110.0,productcatalogservice,763
-110.0,recommendationservice,200
-100.0,checkoutservice,76
-100.0,currencyservice,425
-100.0,emailservice,10
-100.0,frontendservice,1521
-100.0,paymentservice,8
-100.0,productcatalogservice,746
-100.0,recommendationservice,198
-90.0,checkoutservice,140
-90.0,currencyservice,431
-90.0,emailservice,14
-90.0,frontendservice,1498
-90.0,paymentservice,12
-90.0,productcatalogservice,770
-90.0,recommendationservice,198
-80.0,checkoutservice,14
-80.0,currencyservice,357
-80.0,emailservice,5
-80.0,frontendservice,1452
-80.0,paymentservice,3
-80.0,productcatalogservice,745
-80.0,recommendationservice,202
-70.0,checkoutservice,42
-70.0,currencyservice,384
-70.0,emailservice,7
-70.0,frontendservice,1485
-70.0,paymentservice,5
-70.0,productcatalogservice,754
-70.0,recommendationservice,198
-60.0,checkoutservice,74
-60.0,currencyservice,420
-60.0,emailservice,8
-60.0,frontendservice,1516
-60.0,paymentservice,6
-60.0,productcatalogservice,776
-60.0,recommendationservice,202
-50.0,checkoutservice,50
-50.0,currencyservice,368
-50.0,emailservice,8
-50.0,frontendservice,1301
-50.0,paymentservice,6
-50.0,productcatalogservice,629
-50.0,recommendationservice,168
-40.0,checkoutservice,108
-40.0,currencyservice,497
-40.0,emailservice,10
-40.0,frontendservice,1587
-40.0,paymentservice,8
-40.0,productcatalogservice,769
-40.0,recommendationservice,196
-30.0,checkoutservice,74
-30.0,currencyservice,393
-30.0,emailservice,10
-30.0,frontendservice,1480
-30.0,paymentservice,8
-30.0,productcatalogservice,754
-30.0,recommendationservice,202
-20.0,checkoutservice,78
-20.0,currencyservice,404
-20.0,emailservice,10
-20.0,frontendservice,1443
-20.0,paymentservice,8
-20.0,productcatalogservice,708
-20.0,recommendationservice,190
-10.0,checkoutservice,54
-10.0,currencyservice,395
-10.0,emailservice,8
-10.0,frontendservice,1314
-10.0,paymentservice,6
-10.0,productcatalogservice,628
-10.0,recommendationservice,168
0.0,checkoutservice,50
0.0,currencyservice,403
0.0,emailservice,7
0.0,frontendservice,1481
0.0,paymentservice,5
0.0,productcatalogservice,742
0.0,recommendationservice,196
10.0,checkoutservice,64
10.0,currencyservice,395
10.0,emailservice,8
10.0,frontendservice,1397
10.0,paymentservice,6
10.0,productcatalogservice,691
10.0,recommendationservice,184
20.0,checkoutservice,100
20.0,currencyservice,394
20.0,emailservice,11
20.0,frontendservice,1509
20.0,paymentservice,9
20.0,productcatalogservice,790
20.0,recommendationservice,208
30.0,checkoutservice,54
30.0,currencyservice,314
30.0,emailservice,8
30.0,frontendservice,1357
30.0,paymentservice,6
30.0,productcatalogservice,730
30.0,recommendationservice,198
40.0,checkoutservice,72
40.0,currencyservice,364
40.0,emailservice,10
40.0,frontendservice,1359
40.0,paymentservice,8
40.0,productcatalogservice,682
40.0,recommendationservice,184
50.0,checkoutservice,4
50.0,currencyservice,327
50.0,emailservice,4
50.0,frontendservice,1290
50.0,paymentservice,2
50.0,productcatalogservice,643
50.0,recommendationservice,176
60.0,checkoutservice,86
60.0,currencyservice,414
60.0,emailservice,10
60.0,frontendservice,1510
60.0,paymentservice,8
60.0,productcatalogservice,763
60.0,recommendationservice,204
70.0,checkoutservice,36
70.0,currencyservice,350
70.0,emailservice,6
70.0,frontendservice,1426
70.0,paymentservice,4
70.0,productcatalogservice,738
70.0,recommendationservice,202
80.0,checkoutservice,58
80.0,currencyservice,395
80.0,emailservice,7
80.0,frontendservice,1454
80.0,paymentservice,5
80.0,productcatalogservice,732
80.0,recommendationservice,194
90.0,checkoutservice,80
90.0,currencyservice,446
90.0,emailservice,11
90.0,frontendservice,1585
90.0,paymentservice,9
90.0,productcatalogservice,772
90.0,recommendationservice,206
100.0,checkoutservice,62
100.0,currencyservice,407
100.0,emailservice,9
100.0,frontendservice,1524
100.0,paymentservice,7
100.0,productcatalogservice,767
100.0,recommendationservice,202
110.0,checkoutservice,58
110.0,currencyservice,378
110.0,emailservice,8
110.0,frontendservice,1370
110.0,paymentservice,6
110.0,productcatalogservice,682
110.0,recommendationservice,182
120.0,checkoutservice,50
120.0,currencyservice,421
120.0,emailservice,8
120.0,frontendservice,1538
120.0,paymentservice,6
120.0,productcatalogservice,762
120.0,recommendationservice,202
130.0,checkoutservice,87
130.0,currencyservice,370
130.0,emailservice,9
130.0,frontendservice,1400
130.0,paymentservice,8
130.0,productcatalogservice,732
130.0,recommendationservice,192
140.0,checkoutservice,55
140.0,currencyservice,431
140.0,emailservice,9
140.0,frontendservice,1550
140.0,paymentservice,6
140.0,productcatalogservice,766
140.0,recommendationservice,204
150.0,checkoutservice,80
150.0,currencyservice,437
150.0,emailservice,9
150.0,frontendservice,1569
150.0,paymentservice,7
150.0,productcatalogservice,786
150.0,recommendationservice,210
160.0,checkoutservice,80
160.0,currencyservice,416
160.0,emailservice,10
160.0,frontendservice,1492
160.0,paymentservice,8
160.0,productcatalogservice,748
160.0,recommendationservice,198
170.0,checkoutservice,92
170.0,currencyservice,372
170.0,emailservice,12
170.0,frontendservice,1467
170.0,paymentservice,10
170.0,productcatalogservice,765
170.0,recommendationservice,208
180.0,checkoutservice,82
180.0,currencyservice,406
180.0,emailservice,10
180.0,frontendservice,1525
180.0,paymentservice,8
180.0,productcatalogservice,777
180.0,recommendationservice,208
190.0,checkoutservice,14
190.0,currencyservice,370
190.0,emailservice,5
190.0,frontendservice,1332
190.0,paymentservice,3
190.0,productcatalogservice,632
190.0,recommendationservice,174
200.0,checkoutservice,26
200.0,currencyservice,353
200.0,emailservice,6
200.0,frontendservice,1374
200.0,paymentservice,4
200.0,productcatalogservice,686
200.0,recommendationservice,184
210.0,checkoutservice,72
210.0,currencyservice,442
210.0,emailservice,9
210.0,frontendservice,1575
210.0,paymentservice,7
210.0,productcatalogservice,775
210.0,recommendationservice,206
220.0,checkoutservice,14
220.0,currencyservice,342
220.0,emailservice,5
220.0,frontendservice,1283
220.0,paymentservice,3
220.0,productcatalogservice,631
220.0,recommendationservice,170
230.0,checkoutservice,64
230.0,currencyservice,462
230.0,emailservice,9
230.0,frontendservice,1641
230.0,paymentservice,7
230.0,productcatalogservice,800
230.0,recommendationservice,212
240.0,checkoutservice,42
240.0,currencyservice,332
240.0,emailservice,7
240.0,frontendservice,1265
240.0,paymentservice,5
240.0,productcatalogservice,644
240.0,recommendationservice,172
250.0,checkoutservice,96
250.0,currencyservice,408
250.0,emailservice,10
250.0,frontendservice,1522
250.0,paymentservice,8
250.0,productcatalogservice,795
250.0,recommendationservice,210
260.0,checkoutservice,78
260.0,currencyservice,367
260.0,emailservice,9
260.0,frontendservice,1490
260.0,paymentservice,7
260.0,productcatalogservice,806
260.0,recommendationservice,212
270.0,checkoutservice,94
270.0,currencyservice,409
270.0,emailservice,12
270.0,frontendservice,1550
270.0,paymentservice,10
270.0,productcatalogservice,799
270.0,recommendationservice,212
280.0,checkoutservice,54
280.0,currencyservice,384
280.0,emailservice,8
280.0,frontendservice,1493
280.0,paymentservice,6
280.0,productcatalogservice,757
280.0,recommendationservice,204
290.0,checkoutservice,28
290.0,currencyservice,363
290.0,emailservice,6
290.0,frontendservice,1367
290.0,paymentservice,4
290.0,productcatalogservice,682
290.0,recommendationservice,184
300.0,checkoutservice,80
300.0,currencyservice,387
300.0,emailservice,10
300.0,frontendservice,1342
300.0,paymentservice,8
300.0,productcatalogservice,660
300.0,recommendationservice,178
310.0,checkoutservice,38
310.0,currencyservice,384
310.0,emailservice,7
310.0,frontendservice,1466
310.0,paymentservice,5
310.0,productcatalogservice,736
310.0,recommendationservice,198
320.0,checkoutservice,120
320.0,currencyservice,438
320.0,emailservice,13
320.0,frontendservice,1411
320.0,paymentservice,11
320.0,productcatalogservice,683
320.0,recommendationservice,178
330.0,checkoutservice,42
330.0,currencyservice,447
330.0,emailservice,7
330.0,frontendservice,1551
330.0,paymentservice,5
330.0,productcatalogservice,740
330.0,recommendationservice,194
340.0,checkoutservice,68
340.0,currencyservice,391
340.0,emailservice,9
340.0,frontendservice,1482
340.0,paymentservice,7
340.0,productcatalogservice,749
340.0,recommendationservice,200
350.0,checkoutservice,76
350.0,currencyservice,372
350.0,emailservice,10
350.0,frontendservice,1473
350.0,paymentservice,8
350.0,productcatalogservice,766
350.0,recommendationservice,204
360.0,checkoutservice,96
360.0,currencyservice,441
360.0,emailservice,11
360.0,frontendservice,1570
360.0,paymentservice,9
360.0,productcatalogservice,784
360.0,recommendationservice,208
370.0,checkoutservice,48
370.0,currencyservice,375
370.0,emailservice,8
370.0,frontendservice,1437
370.0,paymentservice,6
370.0,productcatalogservice,726
370.0,recommendationservice,194
380.0,checkoutservice,28
380.0,currencyservice,395
380.0,emailservice,6
380.0,frontendservice,1507
380.0,paymentservice,4
380.0,productcatalogservice,750
380.0,recommendationservice,202
390.0,checkoutservice,52
390.0,currencyservice,372
390.0,emailservice,8
390.0,frontendservice,1484
390.0,paymentservice,6
390.0,productcatalogservice,766
390.0,recommendationservice,208
400.0,checkoutservice,76
400.0,currencyservice,392
400.0,emailservice,9
400.0,frontendservice,1502
400.0,paymentservice,7
400.0,productcatalogservice,775
400.0,recommendationservice,208
410.0,checkoutservice,68
410.0,currencyservice,403
410.0,emailservice,9
410.0,frontendservice,1510
410.0,paymentservice,7
410.0,productcatalogservice,771
410.0,recommendationservice,202
420.0,checkoutservice,86
420.0,currencyservice,384
420.0,emailservice,9
420.0,frontendservice,1394
420.0,paymentservice,7
420.0,productcatalogservice,723
420.0,recommendationservice,188
430.0,checkoutservice,32
430.0,currencyservice,346
430.0,emailservice,6
430.0,frontendservice,1373
430.0,paymentservice,4
430.0,productcatalogservice,702
430.0,recommendationservice,188
440.0,checkoutservice,64
440.0,currencyservice,394
440.0,emailservice,8
440.0,frontendservice,1483
440.0,paymentservice,6
440.0,productcatalogservice,759
440.0,recommendationservice,198
450.0,checkoutservice,58
450.0,currencyservice,377
450.0,emailservice,7
450.0,frontendservice,1229
450.0,paymentservice,5
450.0,productcatalogservice,592
450.0,recommendationservice,156
460.0,checkoutservice,68
460.0,currencyservice,390
460.0,emailservice,9
460.0,frontendservice,1457
460.0,paymentservice,7
460.0,productcatalogservice,737
460.0,recommendationservice,200
470.0,checkoutservice,56
470.0,currencyservice,417
470.0,emailservice,9
470.0,frontendservice,1507
470.0,paymentservice,7
470.0,productcatalogservice,731
470.0,recommendationservice,196
480.0,checkoutservice,26
480.0,currencyservice,358
480.0,emailservice,6
480.0,frontendservice,1422
480.0,paymentservice,4
480.0,productcatalogservice,730
480.0,recommendationservice,198
490.0,checkoutservice,56
490.0,currencyservice,400
490.0,emailservice,8
490.0,frontendservice,1330
490.0,paymentservice,6
490.0,productcatalogservice,627
490.0,recommendationservice,168
500.0,checkoutservice,120
500.0,currencyservice,423
500.0,emailservice,12
500.0,frontendservice,1609
500.0,paymentservice,10
500.0,productcatalogservice,837
500.0,recommendationservice,218
510.0,checkoutservice,76
510.0,currencyservice,398
510.0,emailservice,11
510.0,frontendservice,1539
510.0,paymentservice,9
510.0,productcatalogservice,798
510.0,recommendationservice,214
520.0,checkoutservice,4
520.0,currencyservice,362
520.0,emailservice,4
520.0,frontendservice,1301
520.0,paymentservice,2
520.0,productcatalogservice,625
520.0,recommendationservice,168
530.0,checkoutservice,28
530.0,currencyservice,415
530.0,emailservice,6
530.0,frontendservice,1518
530.0,paymentservice,4
530.0,productcatalogservice,741
530.0,recommendationservice,198
540.0,checkoutservice,84
540.0,currencyservice,447
540.0,emailservice,9
540.0,frontendservice,1514
540.0,paymentservice,7
540.0,productcatalogservice,743
540.0,recommendationservice,194
550.0,checkoutservice,42
550.0,currencyservice,394
550.0,emailservice,7
550.0,frontendservice,1419
550.0,paymentservice,5
550.0,productcatalogservice,696
550.0,recommendationservice,184
560.0,checkoutservice,52
560.0,currencyservice,449
560.0,emailservice,8
560.0,frontendservice,1585
560.0,paymentservice,6
560.0,productcatalogservice,765
560.0,recommendationservice,202
570.0,checkoutservice,78
570.0,currencyservice,453
570.0,emailservice,9
570.0,frontendservice,1546
570.0,paymentservice,7
570.0,productcatalogservice,757
570.0,recommendationservice,196
580.0,checkoutservice,66
580.0,currencyservice,413
580.0,emailservice,9
580.0,frontendservice,1549
580.0,paymentservice,7
580.0,productcatalogservice,785
580.0,recommendationservice,206
590.0,checkoutservice,38
590.0,currencyservice,429
590.0,emailservice,7
590.0,frontendservice,1479
590.0,paymentservice,5
590.0,productcatalogservice,699
590.0,recommendationservice,186
600.0,checkoutservice,50
600.0,currencyservice,415
600.0,emailservice,8
600.0,frontendservice,1415
600.0,paymentservice,6
600.0,productcatalogservice,674
600.0,recommendationservice,176
610.0,checkoutservice,16
610.0,currencyservice,358
610.0,emailservice,5
610.0,frontendservice,1315
610.0,paymentservice,3
610.0,productcatalogservice,645
610.0,recommendationservice,174
620.0,checkoutservice,94
620.0,currencyservice,391
620.0,emailservice,10
620.0,frontendservice,1473
620.0,paymentservice,8
620.0,productcatalogservice,771
620.0,recommendationservice,202
630.0,checkoutservice,62
630.0,currencyservice,475
630.0,emailservice,8
630.0,frontendservice,1667
630.0,paymentservice,6
630.0,productcatalogservice,811
630.0,recommendationservice,212
640.0,checkoutservice,48
640.0,currencyservice,455
640.0,emailservice,7
640.0,frontendservice,1440
640.0,paymentservice,5
640.0,productcatalogservice,652
640.0,recommendationservice,168
650.0,checkoutservice,70
650.0,currencyservice,440
650.0,emailservice,9
650.0,frontendservice,1497
650.0,paymentservice,7
650.0,productcatalogservice,727
650.0,recommendationservice,188
660.0,checkoutservice,82
660.0,currencyservice,445
660.0,emailservice,10
660.0,frontendservice,1461
660.0,paymentservice,8
660.0,productcatalogservice,703
660.0,recommendationservice,184
670.0,checkoutservice,114
670.0,currencyservice,451
670.0,emailservice,12
670.0,frontendservice,1460
670.0,paymentservice,10
670.0,productcatalogservice,713
670.0,recommendationservice,182
680.0,checkoutservice,46
680.0,currencyservice,332
680.0,emailservice,7
680.0,frontendservice,1209
680.0,paymentservice,5
680.0,productcatalogservice,599
680.0,recommendationservice,162
690.0,checkoutservice,62
690.0,currencyservice,428
690.0,emailservice,8
690.0,frontendservice,1448
690.0,paymentservice,6
690.0,productcatalogservice,698
690.0,recommendationservice,184
700.0,checkoutservice,48
700.0,currencyservice,378
700.0,emailservice,7
700.0,frontendservice,1411
700.0,paymentservice,5
700.0,productcatalogservice,705
700.0,recommendationservice,190
710.0,checkoutservice,44
710.0,currencyservice,439
710.0,emailservice,7
710.0,frontendservice,1514
710.0,paymentservice,5
710.0,productcatalogservice,714
710.0,recommendationservice,190
