case,fault_type,faulty_service,service,window_seconds,pre_requests,post_requests,request_volume_ratio,pre_spans,post_spans,span_volume_ratio,pre_median_latency,post_median_latency,median_latency_ratio,pre_p95_latency,post_p95_latency,p95_latency_ratio,pre_error_rate,post_error_rate,error_rate_change,baseline_windows,median_latency_baseline_median,median_latency_baseline_mad,median_latency_robust_sigma,p95_latency_baseline_median,p95_latency_baseline_mad,p95_latency_robust_sigma,error_rate_baseline_median,error_rate_baseline_mad,error_rate_robust_sigma,median_latency_robust_z,p95_latency_robust_z,error_rate_robust_z,median_latency_ratio_detector,p95_latency_ratio_detector,median_latency_impaired,p95_latency_impaired,error_impaired,impaired,impairment_score,impaired_signal_count
re2ob_checkoutservice_delay_2,delay,checkoutservice,frontendservice,30,430,370,0.8604651162790697,4400,4024,0.9145454545454546,3897.0,3765.5,0.966256094431614,72561.20000000004,59424.09999999999,0.8189514506375303,0.0,0.0,0.0,72,3860.5,73.0,108.2298,68198.94999999998,3651.30000000001,5413.417380000014,0.0,0.0,0.0,-0.8777619472640622,-1.6209446610229725,0.0,0.9662560944316141,0.8189514506375303,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_2,delay,checkoutservice,paymentservice,30,19,11,0.5789473684210527,19,11,0.5789473684210527,175.0,60.0,0.3428571428571428,230.5,230.0,0.9978308026030368,0.0,0.0,0.0,72,182.5,6.75,10.00755,330.3499999999997,70.42499999999967,104.4121049999995,0.0,0.0,0.0,-12.240758227538208,-0.9610954591902937,0.0,0.34285714285714286,0.9978308026030369,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_2,delay,checkoutservice,productcatalogservice,30,380,350,0.9210526315789472,2051,2028,0.9887859580692344,12.0,12.0,1.0,22.5,22.0,0.9777777777777776,0.0,0.0,0.0,72,12.0,0.0,0.0,24.0,1.0,1.4826,0.0,0.0,0.0,0.0,-1.3489815189531904,0.0,1.0,0.9777777777777777,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_2,delay,checkoutservice,recommendationservice,30,276,280,1.0144927536231885,540,548,1.0148148148148148,3477.5,3524.5,1.0135154565061106,4395.5,5077.249999999999,1.1551018086679556,0.0,0.0,0.0,72,3492.0,31.0,45.9606,4548.799999999999,132.05000000000018,195.77733000000026,0.0,0.0,0.0,0.7071274091286885,2.699239998829278,0.0,1.0135154565061106,1.1551018086679556,False,False,False,False,2.699239998829278,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,30,59,79,1.3389830508474576,138,198,1.434782608695652,3907.0,204406.0,52.31789096493473,74905.05000000002,1901862.35,25.390308797604423,0.0,0.0,0.0,72,4017.5,49.0,72.64739999999999,74924.65000000001,4457.700000000099,6608.986020000147,0.0,0.0,0.0,2758.3712562321575,276.4323747200118,0.0,52.31789096493473,25.39030879760443,True,True,False,True,2758.3712562321575,2
re2ob_checkoutservice_delay_3,delay,checkoutservice,currencyservice,30,354,372,1.0508474576271187,1179,1231,1.0441051738761662,143.0,144.0,1.006993006993007,238.29999999999973,266.0,1.11624003357113,0.0,0.0,0.0,72,141.0,1.0,1.4826,244.375,7.1749999999999545,10.637654999999931,0.0,0.0,0.0,2.023472278429786,2.0328728465061277,0.0,1.006993006993007,1.11624003357113,False,False,False,False,2.0328728465061277,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,emailservice,30,20,25,1.25,20,25,1.25,53.0,206.0,3.8867924528301887,292.55,520.8,1.7802085113655783,0.0,0.0,0.0,72,199.0,11.0,16.3086,379.09999999999997,48.17500000000001,71.42425500000002,0.0,0.0,0.0,0.429221392394197,1.983919888278848,0.0,3.8867924528301887,1.7802085113655783,False,False,False,False,1.983919888278848,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,frontendservice,30,382,395,1.0340314136125657,4217,4284,1.015888072089163,3839.0,3970.5,1.0342537119041415,62614.59999999999,70269.95,1.1222614214576154,0.0,0.0,0.0,72,3860.5,73.0,108.2298,68198.94999999998,3651.30000000001,5413.417380000014,0.0,0.0,0.0,1.0163559389373351,0.3825679519283638,0.0,1.0342537119041417,1.1222614214576154,False,False,False,False,1.0163559389373351,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,paymentservice,30,14,19,1.3571428571428572,14,19,1.3571428571428572,178.0,179.0,1.0056179775280898,410.25,305.9999999999995,0.745886654478975,0.0,0.0,0.0,72,182.5,6.75,10.00755,330.3499999999997,70.42499999999967,104.4121049999995,0.0,0.0,0.0,-0.34973594935823454,-0.2332105075364615,0.0,1.0056179775280898,0.745886654478975,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,productcatalogservice,30,358,363,1.0139664804469273,2097,2116,1.009060562708631,12.0,12.0,1.0,25.0,24.0,0.96,0.0,0.0,0.0,72,12.0,0.0,0.0,24.0,1.0,1.4826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_3,delay,checkoutservice,recommendationservice,30,281,283,1.00711743772242,550,554,1.007272727272727,3477.0,3498.5,1.0061834915156744,4464.15,4419.900000000001,0.9900876986660396,0.0,0.0,0.0,72,3492.0,31.0,45.9606,4548.799999999999,132.05000000000018,195.77733000000026,0.0,0.0,0.0,0.1414254818257377,-0.6584010518480283,0.0,1.0061834915156744,0.9900876986660396,False,False,False,False,0.1414254818257377,0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,30,93,89,0.956989247311828,250,222,0.888,4244.5,4745.0,1.11791730474732,219877.54999999976,215883.04999999987,0.9818330702702486,0.0,0.0,0.0,71,3978.0,66.5,98.5929,75311.04999999999,10418.899999999987,15447.06113999998,0.0,0.0,0.0,7.779464849902985,9.100242351989555,0.0,1.11791730474732,0.9818330702702487,True,True,False,True,9.100242351989555,2
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,currencyservice,30,374,371,0.9919786096256684,1110,1244,1.1207207207207208,97.0,94.0,0.9690721649484536,182.54999999999995,169.8499999999999,0.9304300191728292,0.0,0.0,0.0,71,126.0,5.0,7.412999999999999,199.29999999999995,10.849999999999966,16.086209999999948,0.0,0.0,0.0,-4.316740860650209,-1.8307606328650528,0.0,0.9690721649484536,0.9304300191728291,False,False,False,False,0.0,0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,emailservice,30,31,26,0.8387096774193549,31,26,0.8387096774193549,216.0,234.0,1.0833333333333333,627.0,526.75,0.8401116427432217,0.0,0.0,0.0,71,191.0,16.0,23.7216,410.0,55.14999999999998,81.76538999999997,0.0,0.0,0.0,1.8126939160933495,1.4278657510225299,0.0,1.0833333333333333,0.8401116427432217,False,False,False,False,1.8126939160933495,0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,30,385,390,1.0129870129870129,4067,4060,0.9982788296041308,3706.0,3749.0,1.0116028062601188,197308.79999999987,197051.4,0.998695445920304,0.0,0.0,0.0,71,3556.0,161.5,239.4399,57941.0,7995.199999999953,11853.68351999993,0.0,0.0,0.0,0.8060477806748165,11.735626294163184,0.0,1.0116028062601188,0.9986954459203042,False,True,False,True,11.735626294163184,1
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,paymentservice,30,25,20,0.8,25,20,0.8,179.0,186.5,1.041899441340782,279.8,682.2000000000005,2.4381701215153697,0.0,0.0,0.0,71,192.5,12.5,18.5325,424.0,144.2,213.79091999999997,0.0,0.0,0.0,-0.3237555645487657,1.2077220117673872,0.0,1.041899441340782,2.4381701215153697,False,False,False,False,1.2077220117673872,0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,productcatalogservice,30,359,351,0.977715877437326,2071,1929,0.9314340898116852,12.0,12.0,1.0,23.0,27.0,1.173913043478261,0.0,0.0,0.0,71,13.0,1.0,1.4826,26.0,2.0,2.9652,0.0,0.0,0.0,-0.6744907594765952,0.3372453797382976,0.0,1.0,1.173913043478261,False,False,False,False,0.3372453797382976,0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,recommendationservice,30,281,259,0.9217081850533808,550,506,0.92,3466.0,3430.0,0.9896133871898442,4996.249999999997,4698.25,0.940355266449838,0.0,0.0,0.0,71,3458.5,88.5,131.21009999999998,4831.749999999998,161.49999999999818,239.4398999999973,0.0,0.0,0.0,-0.21720888864500526,-0.5575511850781749,0.0,0.9896133871898442,0.9403552664498379,False,False,False,False,0.0,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,30,33,71,2.1515151515151514,86,182,2.116279069767442,4233.0,4289.5,1.0133475076777698,78004.0,142163.49999999997,1.822515512025024,0.0,0.0,0.0,71,3978.0,66.5,98.5929,75311.04999999999,10418.899999999987,15447.06113999998,0.0,0.0,0.0,3.159456715442998,4.327842648779733,0.0,1.0133475076777698,1.822515512025024,True,True,False,True,4.327842648779733,2
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,currencyservice,30,194,388,2.0,657,1248,1.8995433789954337,122.0,128.0,1.0491803278688523,191.5999999999998,218.64999999999984,1.1411795407098126,0.0,0.0,0.0,71,126.0,5.0,7.412999999999999,199.29999999999995,10.849999999999966,16.086209999999948,0.0,0.0,0.0,0.26979630379063807,1.2028936586057215,0.0,1.0491803278688525,1.1411795407098124,False,False,False,False,1.2028936586057215,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,emailservice,30,14,25,1.7857142857142858,14,25,1.7857142857142858,43.0,183.0,4.255813953488372,354.85,606.199999999999,1.708327462308015,0.0,0.0,0.0,71,191.0,16.0,23.7216,410.0,55.14999999999998,81.76538999999997,0.0,0.0,0.0,-0.3372453797382976,2.3995482685277856,0.0,4.255813953488372,1.7083274623080147,False,False,False,False,2.3995482685277856,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,frontendservice,30,247,432,1.7489878542510122,2627,4575,1.7415302626570233,3512.0,3754.0,1.0689066059225512,58378.99999999998,61838.40000000002,1.059257609756934,0.0,0.0,0.0,71,3556.0,161.5,239.4399,57941.0,7995.199999999953,11853.68351999993,0.0,0.0,0.0,0.8269298475316771,0.328792311134695,0.0,1.0689066059225512,1.059257609756934,False,False,False,False,0.8269298475316771,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,paymentservice,30,9,19,2.111111111111111,9,19,2.111111111111111,202.0,247.0,1.2227722772277227,242.6,570.2999999999956,2.350783182192892,0.0,0.0,0.0,71,192.5,12.5,18.5325,424.0,144.2,213.79091999999997,0.0,0.0,0.0,2.9407797113179552,0.6843134404398262,0.0,1.2227722772277227,2.350783182192892,False,False,False,False,2.9407797113179552,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,productcatalogservice,30,213,399,1.8732394366197185,1205,2281,1.8929460580912865,13.0,13.0,1.0,24.0,26.0,1.0833333333333333,0.0,0.0,0.0,71,13.0,1.0,1.4826,26.0,2.0,2.9652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0833333333333333,False,False,False,False,0.0,0
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,recommendationservice,30,200,305,1.525,392,598,1.5255102040816326,3059.0,3093.0,1.0111147433801897,4593.0,5555.099999999999,1.2094709340300456,0.0,0.0,0.0,71,3458.5,88.5,131.21009999999998,4831.749999999998,161.49999999999818,239.4398999999973,0.0,0.0,0.0,-2.785608729815769,3.0210086121820527,0.0,1.0111147433801897,1.2094709340300456,False,True,False,True,3.0210086121820527,1
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,30,77,85,1.103896103896104,206,214,1.0388349514563109,4088.0,4898.5,1.1982632093933463,68480.75,193771.69999999992,2.829579115298824,0.0,0.0,0.0,71,3978.0,66.5,98.5929,75311.04999999999,10418.899999999987,15447.06113999998,0.0,0.0,0.0,9.336372091702344,7.66881472963472,0.0,1.1982632093933463,2.8295791152988237,True,True,False,True,9.336372091702344,2
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,currencyservice,30,375,389,1.0373333333333334,1192,1192,1.0,135.0,137.0,1.0148148148148148,214.0,222.9000000000001,1.0415887850467294,0.0,0.0,0.0,71,126.0,5.0,7.412999999999999,199.29999999999995,10.849999999999966,16.086209999999948,0.0,0.0,0.0,1.4838796708485096,1.4670951081703032,0.0,1.0148148148148148,1.0415887850467294,False,False,False,False,1.4838796708485096,0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,emailservice,30,28,26,0.9285714285714286,28,26,0.9285714285714286,209.5,210.5,1.0047732696897376,357.5999999999999,423.75,1.1849832214765104,0.0,0.0,0.0,71,191.0,16.0,23.7216,410.0,55.14999999999998,81.76538999999997,0.0,0.0,0.0,0.8220356131121004,0.16816406061293176,0.0,1.0047732696897376,1.1849832214765104,False,False,False,False,0.8220356131121004,0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,frontendservice,30,398,412,1.035175879396985,4237,4387,1.0354024073637007,3405.0,3822.0,1.1224669603524229,52094.8,69022.0,1.324930703256371,0.0,0.0,0.0,71,3556.0,161.5,239.4399,57941.0,7995.199999999953,11853.68351999993,0.0,0.0,0.0,1.1109259567849803,0.9348149021613212,0.0,1.1224669603524229,1.324930703256371,False,False,False,False,1.1109259567849803,0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,paymentservice,30,22,20,0.9090909090909092,22,20,0.9090909090909092,192.5,194.5,1.0103896103896104,595.6999999999998,261.1500000000006,0.4383918079570265,0.0,0.0,0.0,71,192.5,12.5,18.5325,424.0,144.2,213.79091999999997,0.0,0.0,0.0,0.10791852151625524,-0.7617255213645154,0.0,1.0103896103896104,0.4383918079570265,False,False,False,False,0.10791852151625524,0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,productcatalogservice,30,366,384,1.0491803278688523,2090,2223,1.0636363636363635,14.0,14.0,1.0,28.0,29.0,1.0357142857142858,0.0,0.0,0.0,71,13.0,1.0,1.4826,26.0,2.0,2.9652,0.0,0.0,0.0,0.6744907594765952,1.011736139214893,0.0,1.0,1.0357142857142858,False,False,False,False,1.011736139214893,0
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,recommendationservice,30,286,300,1.048951048951049,560,588,1.05,3534.0,3723.5,1.0536219581211093,4819.949999999995,5542.199999999999,1.149845952758847,0.0,0.0,0.0,71,3458.5,88.5,131.21009999999998,4831.749999999998,161.49999999999818,239.4398999999973,0.0,0.0,0.0,2.0196615961728557,2.9671328796913494,0.0,1.0536219581211093,1.149845952758847,False,False,False,False,2.9671328796913494,0
